evidence_kind,chain,block,chain_time_utc,contract,subject_address,metric,raw_integer,decimals,human_value,unit,call_or_formula,transaction_hash,log_index,evidence_page,limitation
recorded_read,Ethereum,26019086,2026-09-20T13:40:47Z,0xc39a5a616f0ad1ff45077fa2de3f79ab8eb8b8b9,0xb8734a14fbd4aa2d44e6aa830405ffc861ba313c,convertToExitAssets(uint256) for recorded shares,303218726518832,6,303218726.518832,USDC accounting units,convertToExitAssets(uint256); shares=233412770855973,,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-maple,Later block than accounting snapshot; not an executable withdrawal.
recorded_read,Base,51561133,2026-09-20T13:40:13Z,0x5a0f93d040de44e78f251b03c43be9cf317dcf64,0x2d4d2a025b10c09bdbd794b4fce4f7ea8c7d7bb4,Selected holder JAAA tokens,59637405470326,6,59637405.470326,JAAA tokens,balanceOf(address),,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-jaaa,"Not USD NAV, claimable USDC or beneficial-owner verification; outer block was 51561134."
recorded_read,Base,51561133,2026-09-20T13:40:13Z,0x5a0f93d040de44e78f251b03c43be9cf317dcf64,,Sampled Base JAAA total supply,59639455161466,6,59639455.161466,JAAA tokens,totalSupply(),,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-jaaa,This Base token denominator only; excludes other networks.
calculation_from_recorded_reads,Base,51561133,2026-09-20T13:40:13Z,0x5a0f93d040de44e78f251b03c43be9cf317dcf64,0x2d4d2a025b10c09bdbd794b4fce4f7ea8c7d7bb4,Holder percentage of sampled Base supply,,0,99.996563196068021194755734937007229570779791165504,percent,holder tokens / Base token totalSupply * 100,,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-jaaa,"Not fund-wide concentration, issuer ownership or a dollar amount."
recorded_read,Ethereum,26019040,2026-09-20T13:31:35Z,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe3490297a08d6fc8da46edb7b6142e4f461b62d3,Mint V2 USDC inventory,30934109172000,6,30934109.172,USDC,balanceOf(address),,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-mint,"Distinct asset units; not all issuer assets, reserved order capacity or assumed par bank cash."
recorded_read,Ethereum,26019040,2026-09-20T13:31:35Z,0xdac17f958d2ee523a2206206994597c13d831ec7,0xe3490297a08d6fc8da46edb7b6142e4f461b62d3,Mint V2 USDT inventory,31023756754732,6,31023756.754732,USDT,balanceOf(address),,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-mint,"Distinct asset units; not all issuer assets, reserved order capacity or assumed par bank cash."
recorded_read,Ethereum,26019040,2026-09-20T13:31:35Z,0xc139190f447e929f090edeb554d95abb8b18ac1c,0xe3490297a08d6fc8da46edb7b6142e4f461b62d3,Mint V2 USDtb inventory,30989945898569999933226432,18,30989945.898569999933226432,USDtb,balanceOf(address),,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-mint,"Distinct asset units; not all issuer assets, reserved order capacity or assumed par bank cash."
recorded_read,Ethereum,26019040,2026-09-20T13:31:35Z,0xe3490297a08d6fc8da46edb7b6142e4f461b62d3,,Global maximum redemption per block,10000000000000000000000000,18,10000000,USDe per block,globalConfig(); second tuple field,,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-mint,"Execution limit, not inventory, a demand observation or elapsed-time throughput. Do not add per-asset caps."
recorded_read,Ethereum,26019040,2026-09-20T13:31:35Z,0x9d39a5de30e57443bff2a8307a4256c8797a3497,,Observed staking cooldown,86400,0,86400,seconds,cooldownDuration(),,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-mint,"A staking setting, not a holder withdrawal test or bank-cash deadline."
recorded_token_log,Ethereum,26018948,2026-09-20T13:13:11Z,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,0x298e013544c56aa8cd0ca7770b8680fa3bbe0d64,USDe burned in matched transaction,165891907000000000000000,18,165891.907,USDe,"Transfer(from=subject,to=zero)",0x72e8a9d27138863379ee0d1a55a70d25495c9ef3d26db9f5c22733da3c2e3140,57,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-payment,Nonremoved standard token log; no separately obtained receipt/status or exact Mint-event ABI match. Predates inventory snapshot.
recorded_token_log,Ethereum,26018948,2026-09-20T13:13:11Z,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x298e013544c56aa8cd0ca7770b8680fa3bbe0d64,USDC paid from Mint V2 in matched transaction,165890828000,6,165890.828,USDC,"Transfer(from=Mint V2,to=subject)",0x72e8a9d27138863379ee0d1a55a70d25495c9ef3d26db9f5c22733da3c2e3140,58,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-payment,Same transaction/block as burn; not independent finality or Maple/JAAA funding attribution. Do not subtract again from later inventory.
